date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
2026-02-18,Netherlands,Egypt,3,3,World Cup,New York,Netherlands,true
2025-09-15,Austria,Germany,0,0,Friendly,Home City,Austria,false
2022-10-25,USA,Qatar,1,1,Continental Cup,Home City,USA,false
2023-12-03,Paraguay,Iraq,3,1,World Cup,Sydney,Paraguay,true
2022-03-31,Paraguay,United Arab Emirates,0,3,World Cup,Madrid,Paraguay,true
2021-05-24,Algeria,Norway,0,0,Continental Cup,Home City,Algeria,false
2023-06-12,Wales,Sweden,0,0,WC Qualifier,Home City,Wales,false
2025-01-10,Argentina,Tunisia,6,0,World Cup,Dubai,Argentina,true
2018-03-14,Japan,USA,1,1,Nations League,Home City,Japan,false
2024-12-25,Senegal,Tunisia,2,1,WC Qualifier,Home City,Senegal,false
2025-05-06,Serbia,Japan,1,0,Continental Cup,Home City,Serbia,false
2024-03-28,Switzerland,USA,1,0,Continental Cup,Home City,Switzerland,false
2024-02-24,Serbia,Croatia,0,1,Continental Cup,Home City,Serbia,false
2023-01-31,Tunisia,Ivory Coast,2,1,Friendly,Home City,Tunisia,false
2024-11-25,South Korea,Belgium,2,3,Friendly,Home City,South Korea,false
2018-03-22,South Africa,Spain,0,3,Continental Cup,Home City,South Africa,false
2022-02-02,France,Tunisia,2,1,Friendly,Home City,France,false
2023-05-07,Netherlands,Peru,3,0,Friendly,Home City,Netherlands,false
2023-07-31,Panama,Peru,0,1,World Cup,New York,Panama,true
2025-07-11,USA,Paraguay,3,0,WC Qualifier,Home City,USA,false
2022-05-02,Colombia,Wales,3,0,World Cup,Sydney,Colombia,true
2020-11-22,Japan,Wales,4,1,World Cup,New York,Japan,true
2020-07-17,Costa Rica,Saudi Arabia,1,0,WC Qualifier,Home City,Costa Rica,false
2018-03-28,United Arab Emirates,Japan,3,3,Continental Cup,Home City,United Arab Emirates,false
2025-04-10,Italy,Sweden,2,0,Continental Cup,Home City,Italy,false
2023-07-17,Costa Rica,Egypt,1,0,Friendly,Home City,Costa Rica,false
2025-10-21,Wales,Austria,0,1,Continental Cup,Home City,Wales,false
2024-02-24,Chile,Cameroon,0,2,World Cup,New York,Chile,true
2021-12-02,Panama,Serbia,1,1,Friendly,Home City,Panama,false
2024-03-02,Peru,Colombia,0,0,Friendly,Home City,Peru,false
2025-10-16,Portugal,Ecuador,3,0,World Cup,Berlin,Portugal,true
2023-05-24,Jamaica,Peru,1,0,Friendly,Home City,Jamaica,false
2025-01-13,Morocco,Iran,1,1,WC Qualifier,Home City,Morocco,false
2022-05-14,Brazil,Paraguay,5,0,Nations League,Home City,Brazil,false
2021-02-16,Spain,South Africa,6,0,WC Qualifier,Home City,Spain,false
2018-04-14,Colombia,South Korea,2,0,Continental Cup,Home City,Colombia,false
2023-02-22,Uruguay,Egypt,2,2,WC Qualifier,Home City,Uruguay,false
2021-09-24,Canada,USA,2,0,World Cup,Madrid,Canada,true
2018-09-29,Canada,USA,2,0,Friendly,Home City,Canada,false
2021-04-10,Nigeria,Paraguay,2,3,Nations League,Home City,Nigeria,false
2026-03-26,Croatia,Saudi Arabia,3,0,World Cup,Madrid,Croatia,true
2026-04-22,South Africa,South Korea,0,0,Continental Cup,Home City,South Africa,false
2024-05-14,Saudi Arabia,Uruguay,2,2,Friendly,Home City,Saudi Arabia,false
2019-06-11,Argentina,Panama,8,0,Friendly,Home City,Argentina,false
2024-05-21,Colombia,Sweden,2,0,Continental Cup,Home City,Colombia,false
2022-05-14,Switzerland,Croatia,0,2,Continental Cup,Home City,Switzerland,false
2018-08-26,Italy,Brazil,1,1,Continental Cup,Home City,Italy,false
2018-10-19,France,Uruguay,2,1,Continental Cup,Home City,France,false
2023-08-27,Peru,South Korea,0,1,Friendly,Home City,Peru,false
2021-07-10,New Zealand,Denmark,1,2,Friendly,Home City,New Zealand,false
2026-05-06,Netherlands,Belgium,1,0,Continental Cup,Home City,Netherlands,false
2022-05-27,Chile,Spain,0,2,WC Qualifier,Home City,Chile,false
2024-12-02,Panama,Colombia,0,4,Friendly,Home City,Panama,false
2020-06-05,Sweden,Brazil,0,1,Friendly,Home City,Sweden,false
2018-11-24,Argentina,USA,4,1,WC Qualifier,Home City,Argentina,false
2022-02-22,Australia,Germany,2,2,World Cup,Sydney,Australia,true
2023-10-12,France,Chile,3,0,WC Qualifier,Home City,France,false
2026-04-24,United Arab Emirates,Sweden,4,1,Continental Cup,Home City,United Arab Emirates,false
2020-07-06,England,Jamaica,3,0,Nations League,Home City,England,false
2020-06-20,Ivory Coast,Sweden,1,2,WC Qualifier,Home City,Ivory Coast,false
2024-06-04,Iran,Peru,3,2,Nations League,Home City,Iran,false
2020-07-26,Sweden,New Zealand,0,1,WC Qualifier,Home City,Sweden,false
2021-05-13,Panama,Paraguay,3,1,Nations League,Home City,Panama,false
2020-04-07,New Zealand,Iran,1,2,WC Qualifier,Home City,New Zealand,false
2020-12-01,Colombia,Denmark,1,1,Friendly,Home City,Colombia,false
2021-12-30,Morocco,Nigeria,2,1,Continental Cup,Home City,Morocco,false
2025-07-02,Tunisia,Ecuador,3,2,WC Qualifier,Home City,Tunisia,false
2022-06-30,Netherlands,United Arab Emirates,4,0,Continental Cup,Home City,Netherlands,false
2026-05-06,Qatar,Norway,1,0,World Cup,Berlin,Qatar,true
2024-10-24,Italy,Mexico,2,0,Nations League,Home City,Italy,false
2021-09-11,Peru,Jamaica,0,0,Nations League,Home City,Peru,false
2021-09-19,Serbia,Croatia,3,1,World Cup,Sydney,Serbia,true
2025-06-23,Serbia,Wales,2,1,Continental Cup,Home City,Serbia,false
2020-09-04,Chile,France,0,1,Friendly,Home City,Chile,false
2025-09-28,Morocco,Chile,3,0,World Cup,Paris,Morocco,true
2019-04-24,Colombia,Denmark,1,2,Nations League,Home City,Colombia,false
2026-03-30,Argentina,England,2,1,Friendly,Home City,Argentina,false
2018-07-19,Croatia,Canada,6,0,Nations League,Home City,Croatia,false
2025-05-14,Switzerland,Saudi Arabia,3,1,Continental Cup,Home City,Switzerland,false
2020-07-21,Serbia,Jamaica,1,0,Friendly,Home City,Serbia,false
2020-06-04,Saudi Arabia,Belgium,0,3,WC Qualifier,Home City,Saudi Arabia,false
2023-01-24,Brazil,Argentina,2,1,Continental Cup,Home City,Brazil,false
2026-04-22,Serbia,Iran,0,0,WC Qualifier,Home City,Serbia,false
2022-11-19,Paraguay,Costa Rica,4,1,Continental Cup,Home City,Paraguay,false
2025-10-03,Chile,Panama,2,0,Friendly,Home City,Chile,false
2024-09-27,Ivory Coast,Algeria,0,4,Friendly,Home City,Ivory Coast,false
2024-12-30,Colombia,Tunisia,4,0,Friendly,Home City,Colombia,false
2026-05-14,Qatar,Jamaica,1,1,WC Qualifier,Home City,Qatar,false
2021-05-26,Egypt,Uruguay,2,0,Nations League,Home City,Egypt,false
2020-03-09,Egypt,South Korea,2,0,WC Qualifier,Home City,Egypt,false
2021-05-27,Senegal,Iraq,1,1,Nations League,Home City,Senegal,false
2024-02-12,Iran,United Arab Emirates,1,0,WC Qualifier,Home City,Iran,false
2025-12-03,Algeria,USA,0,1,Friendly,Home City,Algeria,false
2026-05-10,Belgium,Italy,5,0,World Cup,Paris,Belgium,true
2021-10-18,Australia,Portugal,4,1,Continental Cup,Home City,Australia,false
2019-06-10,Croatia,United Arab Emirates,0,0,Nations League,Home City,Croatia,false
2025-11-29,Austria,Argentina,1,0,World Cup,New York,Austria,true
2018-10-10,England,Uruguay,4,1,World Cup,Madrid,England,true
2025-02-08,USA,Tunisia,0,0,World Cup,Doha,USA,true
2020-01-23,Panama,France,0,2,Continental Cup,Home City,Panama,false
2022-10-20,Jamaica,Morocco,1,4,Friendly,Home City,Jamaica,false
2022-09-08,South Africa,Chile,1,3,Nations League,Home City,South Africa,false
2024-12-24,Brazil,Canada,4,0,Friendly,Home City,Brazil,false
2018-11-27,Panama,Argentina,0,5,World Cup,Paris,Panama,true
2023-04-19,Japan,Australia,2,0,World Cup,Paris,Japan,true
2020-04-06,Saudi Arabia,Netherlands,1,1,World Cup,Dubai,Saudi Arabia,true
2025-03-31,Colombia,South Korea,3,0,WC Qualifier,Home City,Colombia,false
2024-03-12,Mexico,Morocco,1,1,World Cup,Madrid,Mexico,true
2019-09-21,USA,Netherlands,1,2,Friendly,Home City,USA,false
2024-11-15,Netherlands,Paraguay,3,0,Nations League,Home City,Netherlands,false
2019-02-01,Tunisia,Algeria,0,0,Continental Cup,Home City,Tunisia,false
2018-12-13,Saudi Arabia,England,0,4,World Cup,Sydney,Saudi Arabia,true
2024-07-03,Australia,Iran,1,1,World Cup,Sydney,Australia,true
2024-06-05,Chile,South Africa,1,0,Continental Cup,Home City,Chile,false
2021-10-08,Panama,Morocco,1,1,World Cup,Sydney,Panama,true
2020-04-14,Chile,Serbia,2,0,Nations League,Home City,Chile,false
2019-08-31,South Korea,Qatar,1,1,World Cup,London,South Korea,true
2018-04-23,Sweden,Brazil,0,1,WC Qualifier,Home City,Sweden,false
2021-02-11,Netherlands,England,2,0,WC Qualifier,Home City,Netherlands,false
2022-06-09,South Africa,Tunisia,1,0,Nations League,Home City,South Africa,false
2018-04-28,Peru,Spain,2,0,Friendly,Home City,Peru,false
2022-03-23,Serbia,Egypt,4,1,World Cup,Doha,Serbia,true
2024-04-07,Iran,Austria,3,0,Continental Cup,Home City,Iran,false
2023-09-18,Denmark,New Zealand,3,0,Continental Cup,Home City,Denmark,false
2020-10-21,Paraguay,Canada,0,2,Friendly,Home City,Paraguay,false
2025-05-17,Ivory Coast,Belgium,0,2,WC Qualifier,Home City,Ivory Coast,false
2022-09-30,Chile,Mexico,2,1,WC Qualifier,Home City,Chile,false
2024-06-16,Germany,Chile,2,0,WC Qualifier,Home City,Germany,false
2018-12-03,Belgium,Chile,1,2,Continental Cup,Home City,Belgium,false
2019-12-30,France,South Africa,3,0,Nations League,Home City,France,false
2022-08-26,Colombia,Brazil,0,4,World Cup,Berlin,Colombia,true
2021-11-06,Ivory Coast,Mexico,1,2,Friendly,Home City,Ivory Coast,false
2025-02-07,United Arab Emirates,Sweden,1,1,Continental Cup,Home City,United Arab Emirates,false
2020-12-02,Spain,Qatar,6,0,World Cup,Sydney,Spain,true
2022-03-04,Saudi Arabia,Serbia,1,1,Friendly,Home City,Saudi Arabia,false
2022-03-25,Tunisia,Saudi Arabia,1,3,World Cup,Berlin,Tunisia,true
2019-08-27,Costa Rica,Argentina,0,4,Nations League,Home City,Costa Rica,false
2022-10-27,Germany,Brazil,0,1,World Cup,Madrid,Germany,true
2020-07-06,Australia,Norway,3,1,Friendly,Home City,Australia,false
2025-03-06,Morocco,Brazil,0,0,Nations League,Home City,Morocco,false
2020-04-21,Senegal,Sweden,3,0,Nations League,Home City,Senegal,false
2022-08-08,Austria,Nigeria,0,0,World Cup,Madrid,Austria,true
2025-01-01,England,Senegal,6,1,Continental Cup,Home City,England,false
2023-12-25,Senegal,Germany,1,1,Friendly,Home City,Senegal,false
2020-03-16,Argentina,Ivory Coast,3,0,Continental Cup,Home City,Argentina,false
2023-11-08,Qatar,South Africa,4,0,Nations League,Home City,Qatar,false
2018-03-08,Canada,Brazil,0,1,World Cup,Madrid,Canada,true
2019-11-01,Ivory Coast,Italy,0,0,World Cup,Dubai,Ivory Coast,true
2020-06-16,Japan,Nigeria,1,0,Nations League,Home City,Japan,false
2025-06-21,Peru,Italy,2,2,Friendly,Home City,Peru,false
2020-02-02,Qatar,Egypt,4,1,Friendly,Home City,Qatar,false
2020-11-19,Italy,Belgium,4,0,Friendly,Home City,Italy,false
2021-12-21,Paraguay,Canada,4,0,World Cup,Dubai,Paraguay,true
2024-12-26,Tunisia,Austria,2,0,Continental Cup,Home City,Tunisia,false
2018-11-22,Argentina,Belgium,1,0,Friendly,Home City,Argentina,false
2020-05-22,Norway,South Africa,4,1,Nations League,Home City,Norway,false
2024-02-19,Saudi Arabia,Morocco,0,1,Friendly,Home City,Saudi Arabia,false
2019-11-03,Algeria,England,1,3,Nations League,Home City,Algeria,false
2024-11-25,Australia,Paraguay,2,0,Friendly,Home City,Australia,false
2019-10-03,Ecuador,Iran,1,0,Nations League,Home City,Ecuador,false
2019-02-19,Ecuador,Uruguay,0,1,WC Qualifier,Home City,Ecuador,false
2024-06-27,Tunisia,England,0,0,World Cup,London,Tunisia,true
2024-02-13,Qatar,Morocco,0,1,WC Qualifier,Home City,Qatar,false
2022-07-01,Mexico,Egypt,2,0,Nations League,Home City,Mexico,false
2018-01-05,Canada,England,1,0,WC Qualifier,Home City,Canada,false
2019-06-14,Germany,Argentina,0,1,WC Qualifier,Home City,Germany,false
2018-02-17,Wales,Tunisia,3,0,Friendly,Home City,Wales,false
2026-03-26,Japan,Peru,3,2,Nations League,Home City,Japan,false
2020-01-06,Qatar,United Arab Emirates,2,1,Friendly,Home City,Qatar,false
2019-05-06,Japan,Croatia,2,0,WC Qualifier,Home City,Japan,false
2023-05-22,Australia,Italy,2,2,World Cup,Sydney,Australia,true
2021-01-01,Italy,Nigeria,2,0,Nations League,Home City,Italy,false
2018-09-09,Tunisia,Wales,1,1,Friendly,Home City,Tunisia,false
2025-04-15,Iraq,Australia,2,2,Nations League,Home City,Iraq,false
2024-08-12,Sweden,Algeria,1,0,WC Qualifier,Home City,Sweden,false
2024-11-09,Morocco,Egypt,1,0,Continental Cup,Home City,Morocco,false
2018-07-28,Sweden,United Arab Emirates,1,3,Friendly,Home City,Sweden,false
2024-10-09,Portugal,Uruguay,1,0,Friendly,Home City,Portugal,false
2022-03-09,Norway,Ivory Coast,1,2,World Cup,London,Norway,true
2025-02-14,Brazil,Peru,3,0,Continental Cup,Home City,Brazil,false
2020-09-03,Croatia,Portugal,2,0,Nations League,Home City,Croatia,false
2026-03-08,United Arab Emirates,Saudi Arabia,2,0,WC Qualifier,Home City,United Arab Emirates,false
2022-10-08,Chile,Spain,0,2,Continental Cup,Home City,Chile,false
2024-02-15,England,New Zealand,0,1,Continental Cup,Home City,England,false
2024-02-24,Canada,Japan,1,2,Friendly,Home City,Canada,false
2020-06-30,Panama,Mexico,2,1,Nations League,Home City,Panama,false
2024-05-31,Ecuador,Wales,1,1,Nations League,Home City,Ecuador,false
2024-01-20,Wales,Croatia,0,1,World Cup,Doha,Wales,true
2025-05-31,Australia,Cameroon,2,0,Nations League,Home City,Australia,false
2018-04-20,Senegal,Algeria,3,1,WC Qualifier,Home City,Senegal,false
2024-09-10,Morocco,Portugal,2,1,World Cup,New York,Morocco,true
2024-02-14,Portugal,Tunisia,1,0,Friendly,Home City,Portugal,false
2019-02-15,Paraguay,Ecuador,1,0,Friendly,Home City,Paraguay,false
2024-03-16,Sweden,Costa Rica,0,1,WC Qualifier,Home City,Sweden,false
2023-09-05,Uruguay,Colombia,2,1,Nations League,Home City,Uruguay,false
2019-01-05,Morocco,Saudi Arabia,1,0,WC Qualifier,Home City,Morocco,false
2019-05-14,Croatia,Qatar,2,0,Nations League,Home City,Croatia,false
2022-01-06,Croatia,Tunisia,2,1,World Cup,London,Croatia,true
2024-07-13,Peru,Austria,2,1,World Cup,Doha,Peru,true
2022-11-08,Nigeria,Ecuador,2,0,WC Qualifier,Home City,Nigeria,false
2025-12-05,Serbia,Chile,6,1,WC Qualifier,Home City,Serbia,false
2021-01-19,Australia,Iraq,0,1,Nations League,Home City,Australia,false
2019-04-03,Argentina,Denmark,2,0,Continental Cup,Home City,Argentina,false
2024-04-22,Ivory Coast,Japan,1,1,Nations League,Home City,Ivory Coast,false
2021-12-01,Spain,Croatia,3,0,WC Qualifier,Home City,Spain,false
2019-08-23,Costa Rica,Austria,0,1,Friendly,Home City,Costa Rica,false
2019-04-09,Canada,Panama,2,1,Continental Cup,Home City,Canada,false
2023-01-17,Tunisia,Qatar,1,0,Nations League,Home City,Tunisia,false
2024-12-02,Norway,Costa Rica,3,1,Continental Cup,Home City,Norway,false
2019-08-03,Japan,France,2,5,Friendly,Home City,Japan,false
2022-01-12,Norway,Argentina,0,0,Friendly,Home City,Norway,false
2021-08-26,Germany,Cameroon,3,0,Nations League,Home City,Germany,false
2022-12-25,Germany,England,1,1,Friendly,Home City,Germany,false
2022-06-30,Uruguay,Ivory Coast,6,1,WC Qualifier,Home City,Uruguay,false
2023-09-20,Spain,Japan,2,0,WC Qualifier,Home City,Spain,false
2019-06-06,Uruguay,Brazil,2,2,Nations League,Home City,Uruguay,false
2025-09-01,Portugal,France,1,3,Continental Cup,Home City,Portugal,false
2020-09-23,Egypt,United Arab Emirates,3,1,World Cup,Madrid,Egypt,true
2021-06-18,Canada,Jamaica,0,0,Friendly,Home City,Canada,false
2025-12-20,Japan,Colombia,2,1,Nations League,Home City,Japan,false
2023-09-07,South Africa,Ivory Coast,2,1,Friendly,Home City,South Africa,false
2019-02-19,USA,Panama,2,0,Nations League,Home City,USA,false
2019-08-06,Denmark,Tunisia,3,0,WC Qualifier,Home City,Denmark,false
2020-01-19,Croatia,Costa Rica,3,0,WC Qualifier,Home City,Croatia,false
2023-05-04,Morocco,Serbia,4,0,Nations League,Home City,Morocco,false
2024-04-21,New Zealand,Argentina,0,3,World Cup,Berlin,New Zealand,true
2025-01-16,United Arab Emirates,England,1,2,Nations League,Home City,United Arab Emirates,false
2023-05-22,Argentina,Colombia,5,0,Nations League,Home City,Argentina,false
2025-11-19,Algeria,Germany,0,3,WC Qualifier,Home City,Algeria,false
2025-06-23,Costa Rica,Netherlands,3,0,Nations League,Home City,Costa Rica,false
2022-08-04,Saudi Arabia,Chile,3,0,WC Qualifier,Home City,Saudi Arabia,false
2025-01-31,Saudi Arabia,Cameroon,2,0,Friendly,Home City,Saudi Arabia,false
2018-09-21,Chile,United Arab Emirates,3,1,Continental Cup,Home City,Chile,false
2025-09-05,Japan,USA,2,2,Friendly,Home City,Japan,false
2019-09-22,Ivory Coast,Senegal,2,3,WC Qualifier,Home City,Ivory Coast,false
2021-09-05,Belgium,Jamaica,2,2,Friendly,Home City,Belgium,false
2020-01-19,Spain,Senegal,3,1,Continental Cup,Home City,Spain,false
2018-01-20,Uruguay,USA,0,0,World Cup,Doha,Uruguay,true
2019-11-02,Panama,Germany,1,3,WC Qualifier,Home City,Panama,false
2025-08-12,Ivory Coast,Switzerland,0,0,Friendly,Home City,Ivory Coast,false
2022-02-03,France,Uruguay,1,1,World Cup,Doha,France,true
2019-06-03,Egypt,Chile,3,0,Nations League,Home City,Egypt,false
2025-12-13,Denmark,Australia,3,0,Friendly,Home City,Denmark,false
2018-06-24,Tunisia,Uruguay,1,3,WC Qualifier,Home City,Tunisia,false
2020-05-11,Cameroon,Argentina,0,1,WC Qualifier,Home City,Cameroon,false
2022-09-26,Ecuador,Canada,2,0,Nations League,Home City,Ecuador,false
2023-08-13,England,Morocco,2,3,World Cup,Paris,England,true
2021-05-16,Argentina,Chile,2,0,Nations League,Home City,Argentina,false
2024-04-27,Paraguay,Argentina,0,1,Nations League,Home City,Paraguay,false
2022-12-04,Qatar,Norway,1,1,World Cup,New York,Qatar,true
2024-01-02,Iraq,Costa Rica,0,2,WC Qualifier,Home City,Iraq,false
2025-12-15,Senegal,Cameroon,0,0,World Cup,Doha,Senegal,true
2026-03-06,Serbia,Iraq,3,2,Friendly,Home City,Serbia,false
2021-09-26,Mexico,Colombia,0,1,WC Qualifier,Home City,Mexico,false
2022-09-29,Mexico,Iraq,1,0,WC Qualifier,Home City,Mexico,false
2019-11-19,Ecuador,Belgium,2,3,Friendly,Home City,Ecuador,false
2023-05-22,Italy,Cameroon,3,1,World Cup,Sydney,Italy,true
2023-04-30,Australia,Nigeria,1,0,WC Qualifier,Home City,Australia,false
2021-01-24,Nigeria,Italy,1,2,Friendly,Home City,Nigeria,false
2024-05-21,Belgium,Tunisia,1,0,World Cup,Madrid,Belgium,true
2023-01-29,Wales,Uruguay,1,2,Continental Cup,Home City,Wales,false
2023-07-22,Uruguay,Ivory Coast,0,0,WC Qualifier,Home City,Uruguay,false
2025-02-28,Sweden,Croatia,2,0,Nations League,Home City,Sweden,false
2023-07-16,Saudi Arabia,Denmark,1,4,WC Qualifier,Home City,Saudi Arabia,false
2022-02-28,Serbia,Austria,4,0,WC Qualifier,Home City,Serbia,false
2024-08-23,Norway,Cameroon,3,1,Nations League,Home City,Norway,false
2019-01-29,Colombia,England,1,1,Nations League,Home City,Colombia,false
2019-08-05,Cameroon,Qatar,1,0,Nations League,Home City,Cameroon,false
2024-07-08,New Zealand,Paraguay,0,2,Friendly,Home City,New Zealand,false
2022-03-06,Serbia,Brazil,1,2,Continental Cup,Home City,Serbia,false
2018-04-08,Morocco,New Zealand,2,0,Continental Cup,Home City,Morocco,false
2022-09-18,Iran,Norway,3,2,Friendly,Home City,Iran,false
2021-06-12,Italy,Germany,2,2,World Cup,Doha,Italy,true
2024-07-17,Norway,England,2,0,World Cup,Madrid,Norway,true
2020-01-11,Senegal,Switzerland,0,0,World Cup,Dubai,Senegal,true
2024-05-13,Ivory Coast,South Africa,4,1,WC Qualifier,Home City,Ivory Coast,false
2023-01-07,Senegal,Morocco,2,1,Continental Cup,Home City,Senegal,false
2021-01-12,Canada,Paraguay,2,2,WC Qualifier,Home City,Canada,false
2018-05-24,Saudi Arabia,South Africa,1,0,Nations League,Home City,Saudi Arabia,false
2024-11-26,Portugal,Tunisia,2,1,Nations League,Home City,Portugal,false
2022-08-18,Wales,Italy,1,3,Nations League,Home City,Wales,false
2023-07-18,Colombia,Jamaica,2,1,Nations League,Home City,Colombia,false
2019-02-26,Brazil,Sweden,2,0,Nations League,Home City,Brazil,false
2018-12-05,Portugal,Qatar,2,0,Nations League,Home City,Portugal,false
2018-02-25,Cameroon,Costa Rica,0,0,Continental Cup,Home City,Cameroon,false
2018-07-08,Peru,Serbia,6,1,Nations League,Home City,Peru,false
2020-10-12,New Zealand,Argentina,0,1,World Cup,Madrid,New Zealand,true
2021-06-10,Jamaica,South Korea,1,1,Friendly,Home City,Jamaica,false
2025-01-05,England,Sweden,1,0,Nations League,Home City,England,false
2025-12-27,Canada,Tunisia,0,0,Continental Cup,Home City,Canada,false
2019-03-10,Nigeria,Colombia,1,2,World Cup,London,Nigeria,true
2019-04-04,Croatia,Mexico,4,1,WC Qualifier,Home City,Croatia,false
2018-10-26,Costa Rica,Mexico,2,1,WC Qualifier,Home City,Costa Rica,false
2019-08-25,Senegal,USA,1,0,Nations League,Home City,Senegal,false
2020-07-02,South Korea,Canada,3,0,World Cup,Sydney,South Korea,true
2024-05-14,Spain,Uruguay,1,0,Nations League,Home City,Spain,false
2018-01-16,South Korea,Wales,4,0,Nations League,Home City,South Korea,false
2023-04-07,Morocco,Cameroon,1,2,World Cup,New York,Morocco,true
2025-12-27,Nigeria,Iran,1,1,Friendly,Home City,Nigeria,false
2023-07-25,Norway,Denmark,2,1,WC Qualifier,Home City,Norway,false
2018-09-09,Chile,Australia,0,2,World Cup,Doha,Chile,true
2025-05-18,Australia,Switzerland,3,1,Continental Cup,Home City,Australia,false
2023-12-27,Mexico,Tunisia,3,0,WC Qualifier,Home City,Mexico,false
2018-11-18,Norway,Algeria,2,0,World Cup,New York,Norway,true
2020-04-09,Canada,Netherlands,1,5,Nations League,Home City,Canada,false
2018-01-06,Peru,Senegal,1,4,WC Qualifier,Home City,Peru,false
2023-06-01,Canada,Spain,3,2,Friendly,Home City,Canada,false
2021-06-17,Croatia,Brazil,2,1,Friendly,Home City,Croatia,false
2023-11-18,Australia,Peru,6,1,Nations League,Home City,Australia,false
2020-10-25,Egypt,Ecuador,3,2,WC Qualifier,Home City,Egypt,false
2021-11-11,Wales,France,0,2,Friendly,Home City,Wales,false
2023-04-19,Jamaica,Germany,1,2,Continental Cup,Home City,Jamaica,false
2026-04-30,Australia,Serbia,2,0,Nations League,Home City,Australia,false
2025-11-09,France,United Arab Emirates,2,0,World Cup,Sydney,France,true
2024-12-27,Paraguay,Spain,0,1,World Cup,Madrid,Paraguay,true
2021-02-23,England,United Arab Emirates,2,0,Nations League,Home City,England,false
2019-05-02,Qatar,Nigeria,2,1,Continental Cup,Home City,Qatar,false
2020-09-23,Wales,Germany,0,2,WC Qualifier,Home City,Wales,false
2025-02-17,Australia,Saudi Arabia,1,0,World Cup,Paris,Australia,true
2021-07-05,Egypt,England,1,3,Continental Cup,Home City,Egypt,false
2022-06-12,Ivory Coast,Norway,1,1,WC Qualifier,Home City,Ivory Coast,false
2018-08-19,Switzerland,Ecuador,2,0,World Cup,New York,Switzerland,true
2023-07-25,USA,Costa Rica,0,0,Friendly,Home City,USA,false
2025-11-14,United Arab Emirates,Costa Rica,3,1,Nations League,Home City,United Arab Emirates,false
2019-02-06,France,Mexico,6,0,WC Qualifier,Home City,France,false
2018-11-01,USA,Ivory Coast,2,1,World Cup,Berlin,USA,true
2021-08-03,Morocco,New Zealand,3,1,World Cup,Doha,Morocco,true
2026-02-02,Ecuador,Jamaica,1,0,Continental Cup,Home City,Ecuador,false
2019-03-11,Paraguay,Tunisia,0,4,Nations League,Home City,Paraguay,false
2026-05-11,Switzerland,Wales,0,1,Continental Cup,Home City,Switzerland,false
2025-03-30,New Zealand,Wales,0,3,WC Qualifier,Home City,New Zealand,false
2019-07-19,Jamaica,Austria,1,4,World Cup,Madrid,Jamaica,true
2023-10-08,Panama,Uruguay,1,1,Friendly,Home City,Panama,false
2020-06-13,Sweden,Egypt,2,2,Friendly,Home City,Sweden,false
2020-01-13,Italy,Cameroon,3,0,World Cup,Sydney,Italy,true
2025-09-21,Argentina,Cameroon,3,0,Friendly,Home City,Argentina,false
2023-04-04,Algeria,Argentina,1,4,World Cup,Berlin,Algeria,true
2025-02-05,Spain,Chile,2,0,Nations League,Home City,Spain,false
2025-03-12,France,New Zealand,9,0,World Cup,Doha,France,true
2023-02-21,Australia,Morocco,0,1,Nations League,Home City,Australia,false
2026-03-21,Nigeria,New Zealand,2,0,World Cup,New York,Nigeria,true
2025-07-05,Mexico,Tunisia,2,1,Continental Cup,Home City,Mexico,false
2021-02-16,Uruguay,Algeria,2,1,World Cup,Sydney,Uruguay,true
2020-01-10,Brazil,Iraq,5,0,Nations League,Home City,Brazil,false
2024-02-12,Argentina,South Africa,2,0,World Cup,Sydney,Argentina,true
2023-06-12,Ecuador,Colombia,3,2,Continental Cup,Home City,Ecuador,false
2023-12-02,United Arab Emirates,Wales,1,1,WC Qualifier,Home City,United Arab Emirates,false
2022-05-14,Ivory Coast,Netherlands,2,3,Continental Cup,Home City,Ivory Coast,false
2021-05-10,Brazil,Nigeria,4,0,World Cup,Madrid,Brazil,true
2019-11-11,Italy,Uruguay,2,0,Friendly,Home City,Italy,false
2020-11-04,Switzerland,Jamaica,2,0,Nations League,Home City,Switzerland,false
2021-01-13,Mexico,Tunisia,2,0,World Cup,Doha,Mexico,true
2022-07-10,Wales,Saudi Arabia,2,1,WC Qualifier,Home City,Wales,false
2024-03-26,Algeria,New Zealand,1,0,World Cup,New York,Algeria,true
2020-07-02,Netherlands,Paraguay,4,1,Continental Cup,Home City,Netherlands,false
2022-05-31,South Korea,Algeria,0,4,Continental Cup,Home City,South Korea,false
2018-07-20,Portugal,Uruguay,1,0,World Cup,Doha,Portugal,true
2024-03-24,Panama,Uruguay,0,1,Friendly,Home City,Panama,false
2019-11-06,USA,England,2,3,Continental Cup,Home City,USA,false
2020-08-04,Chile,Colombia,1,2,World Cup,Dubai,Chile,true
2018-06-29,Wales,Jamaica,1,2,Nations League,Home City,Wales,false
2020-02-18,Wales,Jamaica,2,1,World Cup,Dubai,Wales,true
2021-01-11,Morocco,Japan,3,0,World Cup,Madrid,Morocco,true
2024-03-03,Australia,Germany,0,0,Continental Cup,Home City,Australia,false
2025-10-12,Portugal,Panama,3,0,Nations League,Home City,Portugal,false
2021-02-11,USA,Panama,0,0,WC Qualifier,Home City,USA,false
